Examinee id,Tests,Homework,Discussions,Rank
1,141,590,100.0,1
2,141,531,100.0,80
3,141,577,100.0,22
4,135,590,100.0,9
5,141,583,100.0,13
6,137,590,100.0,8
7,135,528.75,100.0,89
8,141,588,100.0,6
9,131,590,100.0,15
10,139,545,100.0,59
11,139,581,100.0,17
12,121,589,100.0,30
13,141,482,100.0,138
14,141,538.33,100.0,67
15,112,585,100.0,53
16,127,489,100.0,149
17,121,540,100.0,94
18,135,540,100.0,77
19,141,584,100.0,10
20,133,438,100.0,188
21,135,500,100.0,120
22,135,590,100.0,11
23,135,574,100.0,33
24,141,521,100.0,92
25,141,490,100.0,125
26,141,536.5,100.0,69
27,141,520,100.0,95
28,141,589.33,100.0,4
29,118,590,100.0,35
30,139,578,100.0,24
31,135,579,100.0,25
32,137,540,100.0,70
33,97,537.5,100.0,122
34,139,545,100.0,60
35,129,498.5,100.0,129
36,129,590,100.0,18
37,141,567,100.0,36
38,127,499,100.0,131
39,141,589.33,100.0,5
40,137,532,100.0,84
41,141,390,100.0,231
42,141,590,100.0,2
43,127,490,100.0,148
44,139,477,100.0,150
45,135,510,100.0,110
46,98,542.33,100.0,113
47,141,573,100.0,26
48,117,590,100.0,38
49,141,538.5,100.0,66
50,133,586,100.0,19
51,119,585,100.0,42
52,141,578,100.0,20
53,129,486.67,100.0,151
54,141,590,100.0,3
55,131,590,100.0,16
56,137,580.5,100.0,23
57,131,490,100.0,143
58,139,574,100.0,28
59,139,536.67,100.0,75
60,108,521.33,100.0,127
61,139,480,100.0,145
62,137,540,100.0,71
63,113,538,100.0,105
64,127,494.5,100.0,141
65,129,380.75,100.0,256
66,135,457,100.0,170
67,137,500,100.0,119
68,123,540,100.0,90
69,121,479,100.0,163
70,95,538,100.0,123
71,121,587.33,100.0,34
72,117,490,100.0,158
73,110,484,100.0,165
74,114,590,100.0,43
75,119,430,100.0,213
76,115,584.33,100.0,52
77,133,579.5,100.0,29
78,121,340.5,100.0,290
79,135,489,100.0,136
80,102,435,100.0,224
81,139,540,100.0,68
82,111,581,100.0,55
83,135,538,100.0,78
84,137,545,100.0,62
85,107,385,100.0,268
86,118,590,100.0,37
87,107,533,100.0,114
88,131,326.5,100.0,293
89,119,440,100.0,203
90,114,395,100.0,257
91,129,590,100.0,21
92,113,540,100.0,102
93,141,479.5,100.0,144
94,141,536,100.0,72
95,136,588,100.0,14
96,135,565,0.00 ,50
97,79,440,100.0,243
98,139,490,100.0,128
99,141,536,100.0,73
100,119,475,100.0,166
101,121,539,100.0,96
102,135,298.5,100.0,312
103,111,387.32,100.0,264
104,139,438.75,100.0,181
105,139,440,100.0,180
106,119,581.83,100.0,49
107,135,476.66,100.0,153
