Examinee id,Rank
1,329
2,88
3,136
4,281
5,282
6,16
7,7
8,25
9,44
10,89
11,110
12,307
13,165
14,45
15,188
16,90
17,34
18,257
19,2
20,17
21,231
22,76
23,35
24,91
25,92
26,93
27,94
28,4
29,26
30,189
31,190
32,232
33,191
34,119
35,137
36,120
37,111
38,46
39,192
40,418
41,193
42,59
43,138
44,18
45,233
46,258
47,234
48,194
49,375
50,27
51,139
52,140
53,141
54,330
55,77
56,166
57,95
58,3
59,213
60,142
61,143
62,13
63,19
64,283
65,350
66,144
67,47
68,214
69,20
70,235
71,28
72,167
73,29
74,121
75,195
76,5
77,259
78,21
79,8
80,96
81,236
82,78
83,122
84,48
85,49
86,284
87,60
88,237
89,196
90,145
91,97
92,36
93,168
94,238
95,376
96,285
97,61
98,146
99,215
100,216
101,217
102,331
103,308
104,218
105,62
106,147
107,63
108,98
109,6
110,309
111,286
112,112
113,429
114,437
115,64
116,358
117,22
118,287
119,50
120,148
121,260
122,288
123,169
124,197
125,198
126,9
127,79
128,261
129,239
130,51
131,289
132,149
133,219
134,37
135,52
136,199
137,99
138,113
139,240
140,65
141,332
142,80
143,66
144,67
145,241
146,23
147,220
148,290
149,53
150,123
151,359
152,291
153,395
154,170
155,262
156,451
157,242
158,68
159,243
160,30
161,81
162,14
163,200
164,114
165,69
166,150
167,100
168,310
169,38
170,201
171,1
172,39
173,171
174,124
175,125
176,360
177,292
178,151
179,361
180,244
181,126
182,311
183,152
184,70
185,293
186,312
187,40
188,221
189,31
190,15
191,351
192,71
193,101
194,222
195,127
196,223
197,153
198,154
199,313
200,172
201,377
202,414
203,245
204,246
205,54
206,362
207,155
208,224
209,247
210,248
211,516
212,249
213,82
214,363
215,314
216,315
217,156
218,352
219,333
220,173
221,72
222,263
223,73
224,378
225,379
226,174
227,102
228,225
229,380
230,41
231,103
232,74
233,10
234,364
235,264
236,316
237,294
238,265
239,175
240,157
241,266
242,176
243,55
244,295
245,104
246,250
247,528
248,334
249,267
250,32
251,296
252,297
253,353
254,251
255,115
256,158
257,396
258,177
259,202
260,503
261,335
262,252
263,178
264,336
265,42
266,128
267,386
268,116
269,159
270,419
271,415
272,105
273,179
274,203
275,106
276,424
277,317
278,408
279,56
280,268
281,381
282,337
283,318
284,107
285,160
286,129
287,75
288,204
289,253
290,130
291,365
292,205
293,33
294,180
295,397
296,398
297,226
298,298
299,299
